[  305536ms] [INFO] [Status] محطة وقود السويحلي | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  305536ms] [INFO] [Status] محطة وقود الفلاح | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  305536ms] [INFO] [Status] محطة وقود البيفي | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  305536ms] [INFO] [Status] محطة وقود / برقان | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  305536ms] [INFO] [Status] محطة وقود / الجبو | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  305536ms] [INFO] [Status] محطة وقود | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  305536ms] [INFO] [Status] محطة وقود الخبولي | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  305536ms] [INFO] [Status] محطة وقود | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  305536ms] [INFO] [Status] محطة وقود | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  305536ms] [INFO] [Status] محطة وقود | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  305536ms] [INFO] [Status] محطة وقود | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  305536ms] [INFO] [Status] أويليبيا | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  305536ms] [INFO] [Status] محطة وقود | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  305536ms] [INFO] [Status] أويليبيا | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  305536ms] [INFO] [Status] محطة توزيع غاز | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  305536ms] [INFO] [Status] محطة وقود | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  305536ms] [INFO] [Status] محطة وقود غير مسماة - node/12492729341 | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  305536ms] [INFO] [Status] محطة وقود | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  305536ms] [INFO] [Status] محطة وقود | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  305536ms] [INFO] [Status] غاز بنبلي | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  305536ms] [INFO] [Status] محطة وقود البوعيشي | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  305536ms] [INFO] [Status] محطة وقود اسبان | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  305536ms] [INFO] [Status] محطة وقود اسبان | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  305536ms] [INFO] [Status] محطة وقود أحمد محمود | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  305536ms] [INFO] [Status] محطة وقود المشري | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  305536ms] [INFO] [Status] محطة وقود تاجواء الوسط | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  305536ms] [INFO] [Status] محطة وقود | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  305536ms] [INFO] [Status] محطة وقود | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  305537ms] [INFO] [Status] محطة وقود الشعافي | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  305537ms] [INFO] [Status] محطة وقود السويحلي | activeDevices: 0 | final status: مسكر @ http://localhost:5173/app.js:340
[  305537ms] [INFO] [Status] محطة وقود | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  305537ms] [INFO] [Status] محطة وقود | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  305537ms] [INFO] [Status] محطة وقود | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  305537ms] [INFO] [Status] محطة وقود غوط الشعال | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  305537ms] [INFO] [Status] محطة وقود | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  305537ms] [INFO] [Status] محطة ابو نواس | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  305537ms] [INFO] [Status] محطة وقود بير | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  305537ms] [INFO] [Status] محطة وقود ابونواس | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  305537ms] [INFO] [Status] محطة وقود القاضي | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  305537ms] [INFO] [Status] محطة وقود | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  305537ms] [INFO] [Status] محطة وقود | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  305537ms] [INFO] [Status] محطة وقود غير مسماة - way/569303812 | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  305537ms] [INFO] [Status] Oilibya | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  305537ms] [INFO] [Status] محطة وقود الضواحي ⛽ | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  305537ms] [INFO] [Status] محطة وقود | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  305537ms] [INFO] [Status] محطة وقود / شيل الرقبة | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  305537ms] [INFO] [Status] محطة وقود | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  305537ms] [INFO] [Status] موزع غاز حكومي | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  305537ms] [INFO] [Status] محطة وقود | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
